Model,Hyperparameters,Method,Accuracy,ROC-AUC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1
LogisticRegression,"{'C': 0.01, 'penalty': 'l2'}",SMOTE,0.6190429399626609,0.6536688162092741,0.6323710831482853,0.7007199489656429,0.6647933598478298,0.599267846247712,0.5235049568276303,0.5588302230314065
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",Class Weight,0.621008155645082,0.6571121897763553,0.6334015554645928,0.7050943224277773,0.6673279282387442,0.6024081582503993,0.5226521692783286,0.5597031963470319
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",SMOTE,0.6180603321214503,0.6538348777964399,0.6301358717760963,0.7058233846714663,0.6658356258596974,0.5996527347141263,0.5154034751092634,0.5543453336390736
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",Class Weight,0.6212538076053847,0.657104379227854,0.6336171606353365,0.7052765879886995,0.6675292189588994,0.6027027027027027,0.5229719646093167,0.5600136978482964
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",SMOTE,0.6187972880023582,0.6538657411205551,0.6301636157459906,0.7090130319876059,0.6672670354646426,0.6012737262737263,0.5132715062360089,0.5537983782851228
LogisticRegression,"{'C': 10, 'penalty': 'l2'}",Class Weight,0.6212046772133242,0.657110217710005,0.6335652885796152,0.7052765879886995,0.667500431257547,0.6026538886841135,0.5228653661656539,0.559931506849315
LogisticRegression,"{'C': 10, 'penalty': 'l2'}",SMOTE,0.6186498968261767,0.6538634581866026,0.629863301787592,0.7096509614508338,0.6673808707576278,0.6013014641471656,0.5122055217993817,0.553189039834216
LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",Class Weight,0.6210572860371426,0.6571209232130502,0.6334097233589786,0.7052765879886995,0.6674140830494588,0.6025073746312685,0.5225455708346658,0.5596848775475253
LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",SMOTE,0.6189938095706004,0.6538726287808629,0.6302201359663322,0.7096509614508338,0.6675811222084101,0.6016504126031508,0.5129517109050208,0.5537717935439324
LogisticRegression,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga', 'l1_ratio': 0.5}",Class Weight,0.6209590252530215,0.6571487555780455,0.6332188420019627,0.7056411191105441,0.6674712296883755,0.602510460251046,0.5219059801726895,0.5593191294910608
LogisticRegression,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga', 'l1_ratio': 0.5}",SMOTE,0.6185025056499951,0.6538555407773631,0.6303429221517959,0.7069169780369999,0.6664375617509343,0.6003976143141153,0.5150836797782752,0.5544781685696253
